"player","mp","team","date"
"Valeriane Ayayi",4,"PHX",2026-06-03
"Jovana Nogic",12,"PHX",2026-06-03
"Lexi Held",13,"PHX",2026-06-03
"Kyara Linskens",0,"PHX",2026-06-03
"Quionche Carter",0,"PHX",2026-06-03
"Jordan Horston",21,"SEA",2026-06-03
"Stefanie Dolson",25,"SEA",2026-06-03
"Awa Fam",33,"SEA",2026-06-03
"Natisha Hiedeman",30,"SEA",2026-06-03
"Flau'jae JohnsonF. Johnson#4",29,"SEA",2026-06-03
"Katie Lou",17,"SEA",2026-06-03
"Mackenzie Holmes",19,"SEA",2026-06-03
"Zia Cooke",14,"SEA",2026-06-03
"Jade Melbourne",13,"SEA",2026-06-03
"Joyner Holmes",0,"SEA",2026-06-03
"Dominique Malonga",0,"SEA",2026-06-03
"Lexie Brown",0,"SEA",2026-06-03
"Naz Hillmon",28,"ATL",2026-06-04
"Angel Reese",31,"ATL",2026-06-04
"Allisha Gray",36,"ATL",2026-06-04
"Jordin Canada",32,"ATL",2026-06-04
"Rhyne Howard",37,"ATL",2026-06-04
"Sika Kone",1,"ATL",2026-06-04
"Madina Okot",9,"ATL",2026-06-04
"Te-Hina Paopao",16,"ATL",2026-06-04
"Aaliyah Nye",1,"ATL",2026-06-04
"Indya Nivar",1,"ATL",2026-06-04
"Isobel Borlase",7,"ATL",2026-06-04
"Monique Billings",13,"IND",2026-06-04
"Aliyah Boston",31,"IND",2026-06-04
"Kelsey Mitchell",33,"IND",2026-06-04
"Lexie Hull",20,"IND",2026-06-04
"Caitlin Clark",31,"IND",2026-06-04
"Myisha Hines",16,"IND",2026-06-04
"Makayla Timpson",14,"IND",2026-06-04
"Sophie Cunningham",19,"IND",2026-06-04
"Raven Johnson",23,"IND",2026-06-04
"Grace Van",0,"IND",2026-06-04
"Damiris Dantas",0,"IND",2026-06-04
"Tyasha Harris",0,"IND",2026-06-04
"Kayla Thornton",21,"GS",2026-06-04
"Gabby Williams",25,"GS",2026-06-04
"Cecilia Zandalasini",27,"GS",2026-06-04
"Kiah Stokes",21,"GS",2026-06-04
"Veronica Burton",26,"GS",2026-06-04
"Janelle Salaun",19,"GS",2026-06-04
"Tiffany Hayes",25,"GS",2026-06-04
"Kaila Charles",15,"GS",2026-06-04
"Kaitlyn Chen",14,"GS",2026-06-04
"Juste Jocyte",7,"GS",2026-06-04
"Laeticia Amihere",0,"GS",2026-06-04
"Ndjakalenga Mwenentanda",0,"GS",2026-06-04
"Natasha Howard",30,"MIN",2026-06-04
"Nia Coffey",35,"MIN",2026-06-04
"Kayla Mc",32,"MIN",2026-06-04
"Courtney Williams",34,"MIN",2026-06-04
"Olivia Miles",28,"MIN",2026-06-04
"Antonia Delaere",13,"MIN",2026-06-04
"Anastasiia Olairi",13,"MIN",2026-06-04
"Teaira Mc",2,"MIN",2026-06-04
"Maya Caldwell",12,"MIN",2026-06-04
"Diamond Miller",28,"CON",2026-06-05
"Aneesah Morrow",32,"CON",2026-06-05
"Brittney Griner",29,"CON",2026-06-05
"Saniya Rivers",23,"CON",2026-06-05
"Leila Lacan",34,"CON",2026-06-05
"Raegan Beers",6,"CON",2026-06-05
"Nell Angloma",17,"CON",2026-06-05
"Olivia Nelson",10,"CON",2026-06-05
"Hailey Van",6,"CON",2026-06-05
"Charlisse Leger",8,"CON",2026-06-05
"Gianna Kneepkens",8,"CON",2026-06-05
"Ashlon Jackson",1,"CON",2026-06-05
"Azura Stevens",20,"CHI",2026-06-05
"Kamilla Cardoso",33,"CHI",2026-06-05
"Skylar Diggins",32,"CHI",2026-06-05
"Rachel Banham",22,"CHI",2026-06-05
"Jacy Sheldon",27,"CHI",2026-06-05
"Elizabeth Williams",21,"CHI",2026-06-05
"Natasha Cloud",26,"CHI",2026-06-05
"Saylor Poffenbarger",6,"CHI",2026-06-05
"Sydney Taylor",13,"CHI",2026-06-05
"Jessica Shepard",38,"DAL",2026-06-05
"Maddy Siegrist",24,"DAL",2026-06-05
"Arike Ogunbowale",34,"DAL",2026-06-05
"Paige Bueckers",36,"DAL",2026-06-05
"Azzi Fudd",35,"DAL",2026-06-05
"Alysha Clark",2,"DAL",2026-06-05
"Alanna Smith",16,"DAL",2026-06-05
"Odyssey Sims",5,"DAL",2026-06-05
"Aziaha James",10,"DAL",2026-06-05
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-06-05
"Nneka Ogwumike",35,"LA",2026-06-05
"Dearica Hamby",30,"LA",2026-06-05
"Erica Wheeler",33,"LA",2026-06-05
"Kelsey Plum",33,"LA",2026-06-05
"Ariel Atkins",28,"LA",2026-06-05
"Cameron Brink",15,"LA",2026-06-05
"Rae Burrell",18,"LA",2026-06-05
"Kate Martin",3,"LA",2026-06-05
"Chance Gray",5,"LA",2026-06-05
"Emma Cannon",0,"LA",2026-06-05
"Sania Feagin",0,"LA",2026-06-05
"Jihyun Park",0,"LA",2026-06-05
"Ta'Niya Latson",0,"LA",2026-06-05
"DeWanna Bonner",34,"PHX",2026-06-05
"Natasha Mack",29,"PHX",2026-06-05
"Noemie Brochant",28,"PHX",2026-06-05
"Jovana Nogic",30,"PHX",2026-06-05
"Monique Akoa",31,"PHX",2026-06-05
"Valeriane Ayayi",4,"PHX",2026-06-05
"Marta Suarez",11,"PHX",2026-06-05
"Kyara Linskens",6,"PHX",2026-06-05
"Lexi Held",20,"PHX",2026-06-05
"Quionche Carter",9,"PHX",2026-06-05
"Bridget Carleton",27,"POR",2026-06-05
"Emily Engstler",17,"POR",2026-06-05
"Megan Gustafson",22,"POR",2026-06-05
"Sarah Ashlee",29,"POR",2026-06-05
"Carla Leite",24,"POR",2026-06-05
"Frieda Buhner",15,"POR",2026-06-05
"Nyadiew Puoch",13,"POR",2026-06-05
"Luisa Geiselsoder",18,"POR",2026-06-05
"Karlie Samuelson",19,"POR",2026-06-05
"Teja Oblak",16,"POR",2026-06-05
"Serah Williams",0,"POR",2026-06-05
"Holly Winterburn",0,"POR",2026-06-05
"Jordan Horston",18,"SEA",2026-06-06
"Stefanie Dolson",20,"SEA",2026-06-06
"Awa Fam",30,"SEA",2026-06-06
"Natisha Hiedeman",26,"SEA",2026-06-06
"Flau'jae JohnsonF. Johnson#4",26,"SEA",2026-06-06
"Katie Lou",18,"SEA",2026-06-06
"Mackenzie Holmes",14,"SEA",2026-06-06
"Taylor Thierry",2,"SEA",2026-06-06
"Dominique Malonga",14,"SEA",2026-06-06
"Zia Cooke",9,"SEA",2026-06-06
"Jade Melbourne",20,"SEA",2026-06-06
"Taina Mair",2,"SEA",2026-06-06
"Natasha Howard",30,"MIN",2026-06-06
"Nia Coffey",27,"MIN",2026-06-06
"Kayla Mc",23,"MIN",2026-06-06
"Courtney Williams",27,"MIN",2026-06-06
"Olivia Miles",33,"MIN",2026-06-06
"Antonia Delaere",14,"MIN",2026-06-06
"Anastasiia Olairi",17,"MIN",2026-06-06
"Teaira Mc",7,"MIN",2026-06-06
"Maya Caldwell",22,"MIN",2026-06-06
"Kayla Thornton",35,"GS",2026-06-06
"Gabby Williams",28,"GS",2026-06-06
"Cecilia Zandalasini",16,"GS",2026-06-06
"Kiah Stokes",17,"GS",2026-06-06
"Veronica Burton",34,"GS",2026-06-06
"Janelle Salaun",28,"GS",2026-06-06
"Iliana Rupert",NA,"GS",2026-06-06
"Tiffany Hayes",16,"GS",2026-06-06
"Kaila Charles",20,"GS",2026-06-06
"Kaitlyn Chen",6,"GS",2026-06-06
"Laeticia Amihere",0,"GS",2026-06-06
"Ndjakalenga Mwenentanda",0,"GS",2026-06-06
"Juste Jocyte",0,"GS",2026-06-06
"Stephanie Talbot",19,"LV",2026-06-06
"NaLyssa Smith",29,"LV",2026-06-06
"A'ja WilsonA. Wilson#22",35,"LV",2026-06-06
"Chelsea Gray",36,"LV",2026-06-06
"Jackie Young",36,"LV",2026-06-06
"Brianna Turner",9,"LV",2026-06-06
"Kierstan Bell",7,"LV",2026-06-06
"Jewell Loyd",28,"LV",2026-06-06
"Cheyenne Parker",0,"LV",2026-06-06
"Janiah Barker",0,"LV",2026-06-06
"Michaela Onyenwere",21,"WSH",2026-06-06
"Kiki Iriafen",27,"WSH",2026-06-06
"Shakira Austin",22,"WSH",2026-06-06
"Sonia Citron",29,"WSH",2026-06-06
"Georgia Amoore",23,"WSH",2026-06-06
"Angela Dugalic",14,"WSH",2026-06-06
"Lauren Betts",16,"WSH",2026-06-06
"Rori Harmon",2,"WSH",2026-06-06
"Cotie Mc",15,"WSH",2026-06-06
"Cassandre Prosper",11,"WSH",2026-06-06
"Alicia Florez",20,"WSH",2026-06-06
"Lucy Olsen",0,"WSH",2026-06-06
