"player","mp","team","date"
"Jade Melbourne",25,"SEA",2026-06-01
"Katie Lou",12,"SEA",2026-06-01
"Mackenzie Holmes",14,"SEA",2026-06-01
"Awa Fam",31,"SEA",2026-06-01
"Lexie Brown",5,"SEA",2026-06-01
"Zia Cooke",16,"SEA",2026-06-01
"Joyner Holmes",0,"SEA",2026-06-01
"Jessica Shepard",23,"DAL",2026-06-01
"Maddy Siegrist",22,"DAL",2026-06-01
"Arike Ogunbowale",18,"DAL",2026-06-01
"Paige Bueckers",24,"DAL",2026-06-01
"Azzi Fudd",24,"DAL",2026-06-01
"Alysha Clark",18,"DAL",2026-06-01
"Alanna Smith",22,"DAL",2026-06-01
"Li Yueru",9,"DAL",2026-06-01
"Odyssey Sims",21,"DAL",2026-06-01
"Aziaha James",18,"DAL",2026-06-01
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-06-01
"Natasha Howard",23,"MIN",2026-06-01
"Nia Coffey",22,"MIN",2026-06-01
"Kayla Mc",22,"MIN",2026-06-01
"Courtney Williams",29,"MIN",2026-06-01
"Olivia Miles",28,"MIN",2026-06-01
"Antonia Delaere",24,"MIN",2026-06-01
"Anastasiia Olairi",18,"MIN",2026-06-01
"Teaira Mc",16,"MIN",2026-06-01
"Maya Caldwell",18,"MIN",2026-06-01
"Alyssa Thomas",25,"PHX",2026-06-01
"Natasha Mack",20,"PHX",2026-06-01
"Noemie Brochant",24,"PHX",2026-06-01
"Kahleah Copper",27,"PHX",2026-06-01
"Monique Akoa",24,"PHX",2026-06-01
"DeWanna Bonner",7,"PHX",2026-06-01
"Valeriane Ayayi",11,"PHX",2026-06-01
"Kyara Linskens",20,"PHX",2026-06-01
"Jovana Nogic",16,"PHX",2026-06-01
"Lexi Held",15,"PHX",2026-06-01
"Quionche Carter",10,"PHX",2026-06-01
"Diamond Miller",26,"CON",2026-06-02
"Aneesah Morrow",30,"CON",2026-06-02
"Brittney Griner",29,"CON",2026-06-02
"Saniya Rivers",29,"CON",2026-06-02
"Leila Lacan",28,"CON",2026-06-02
"Nell Angloma",10,"CON",2026-06-02
"Olivia Nelson",11,"CON",2026-06-02
"Kennedy Burke",18,"CON",2026-06-02
"Charlisse Leger",16,"CON",2026-06-02
"Gianna Kneepkens",5,"CON",2026-06-02
"Raegan Beers",0,"CON",2026-06-02
"Naz Hillmon",35,"ATL",2026-06-02
"Angel Reese",29,"ATL",2026-06-02
"Allisha Gray",36,"ATL",2026-06-02
"Jordin Canada",36,"ATL",2026-06-02
"Rhyne Howard",37,"ATL",2026-06-02
"Sika Kone",3,"ATL",2026-06-02
"Madina Okot",9,"ATL",2026-06-02
"Te-Hina Paopao",8,"ATL",2026-06-02
"Aaliyah Nye",1,"ATL",2026-06-02
"Indya Nivar",1,"ATL",2026-06-02
"Isobel Borlase",5,"ATL",2026-06-02
